iter	Logloss
0	0.6906727829
1	0.6884553727
2	0.6854959033
3	0.6845385481
4	0.6825899737
5	0.6794156097
6	0.6774591382
7	0.6749998628
8	0.673595184
9	0.6718291797
10	0.6701305684
11	0.6680225129
12	0.6652768005
13	0.6630088623
14	0.6609421661
15	0.6587704654
16	0.6564709388
17	0.6548490899
18	0.6530282075
19	0.6504374254
20	0.6480937286
21	0.6460432951
22	0.6438591464
23	0.6419630408
24	0.6405740893
25	0.6394109411
26	0.6374669175
27	0.634998875
28	0.6328267058
29	0.6312932642
30	0.6296898865
31	0.6275169142
32	0.6264774425
33	0.6247533329
34	0.6232008848
35	0.6209832738
36	0.6193203333
37	0.6178449153
38	0.6161689914
39	0.614540517
40	0.6132671441
41	0.6112140336
42	0.6096662032
43	0.6080237416
44	0.6059340903
45	0.6044259462
46	0.6034370025
47	0.6016079553
48	0.5992477282
49	0.5973314784
50	0.5952787025
51	0.593751418
52	0.5922923295
53	0.5907319174
54	0.5891472785
55	0.5877789397
56	0.5865081769
57	0.585339407
58	0.5840275526
59	0.5826979631
60	0.5808978273
61	0.5790217991
62	0.5775975114
63	0.5761732906
64	0.5747216977
65	0.5733220383
66	0.5718693746
67	0.5699873232
68	0.5684027512
69	0.5668691758
70	0.5650792125
71	0.5633783927
72	0.562036556
73	0.5604033969
74	0.5589625789
75	0.5578686306
76	0.5562688334
77	0.5549041755
78	0.5530413314
79	0.5507049963
80	0.5489576974
81	0.5475301639
82	0.545953556
83	0.5449422261
84	0.5432678414
85	0.5416727624
86	0.5403340377
87	0.5387990568
88	0.5377553355
89	0.5364888893
90	0.5349781016
91	0.5335384548
92	0.5321267154
93	0.5309692893
94	0.5295254931
95	0.5280893598
96	0.5263610005
97	0.5253485998
98	0.5244225652
99	0.5230203626
100	0.5219995628
101	0.5202222483
102	0.518837513
103	0.5173279635
104	0.5160371233
105	0.5153844754
106	0.5141213085
107	0.5123055458
108	0.5107327526
109	0.50990068
110	0.5090107846
111	0.5076003503
112	0.5065924335
113	0.5052187743
114	0.5038521086
115	0.5023395475
116	0.5011091736
117	0.4997076068
118	0.4979479603
119	0.4974636945
120	0.4961237317
121	0.4944638697
122	0.4933315737
123	0.4920285532
124	0.4908249826
125	0.4903866604
126	0.489269824
127	0.4878317164
128	0.4860624997
129	0.4842095605
130	0.4826861576
131	0.4814706075
132	0.4802183827
133	0.4788274235
134	0.4780745895
135	0.4764432374
136	0.4751021703
137	0.4734237033
138	0.4721841608
139	0.4715521256
140	0.4694487882
141	0.4680495638
142	0.4664553547
143	0.4652925746
144	0.4640180305
145	0.4633860288
146	0.4623585701
147	0.4606044114
148	0.4592115783
149	0.4580295573
150	0.4573146361
151	0.4562068345
152	0.4546850043
153	0.4535807497
154	0.4519384219
155	0.4506012031
156	0.4494896871
157	0.4484089565
158	0.4473451912
159	0.4458400587
160	0.4447619716
161	0.4432471015
162	0.4422124484
163	0.4413107743
164	0.4403978235
165	0.4391876273
166	0.4383714828
167	0.4374865398
168	0.4365339696
169	0.4355155792
170	0.4344588744
171	0.4334455702
172	0.4326816937
173	0.4318328231
174	0.4311764943
175	0.4302449719
176	0.4291586865
177	0.4281510374
178	0.4270472513
179	0.4258989603
180	0.4244219696
181	0.4234787019
182	0.4223925169
183	0.4212801644
184	0.4204639529
185	0.4199199235
186	0.4189110698
187	0.4177093396
188	0.4170010774
189	0.4160771843
190	0.4147036923
191	0.4135944519
192	0.4125155951
193	0.411469431
194	0.410553
195	0.4096187671
196	0.4081287261
197	0.406886172
198	0.4061786794
199	0.4054387284
200	0.4046717734
201	0.4038320714
202	0.4027769394
203	0.4016458815
204	0.4004480998
205	0.3994719387
206	0.3984905576
207	0.3975514727
208	0.3963682471
209	0.3953759907
210	0.3938873216
211	0.3933369343
212	0.3924369668
213	0.3915772879
214	0.3907258072
215	0.389810012
216	0.3889397924
217	0.3882323668
218	0.3876878019
219	0.386571434
220	0.3859354502
