iter	Passed	Remaining
0	111	111325
1	119	59446
2	125	41780
3	133	33127
4	139	27681
5	145	24049
6	151	21501
7	157	19570
8	163	18053
9	169	16825
10	176	15847
11	182	15026
12	189	14364
13	195	13768
14	201	13218
15	208	12830
16	216	12547
17	224	12244
18	232	11982
19	239	11721
20	245	11456
21	251	11166
22	258	10960
23	265	10777
24	271	10586
25	278	10429
26	284	10261
27	291	10106
28	297	9961
29	304	9856
30	311	9736
31	318	9631
32	325	9546
33	331	9424
34	337	9317
35	345	9255
36	352	9171
37	358	9074
38	364	8988
39	371	8909
40	377	8829
41	384	8771
42	390	8698
43	396	8620
44	403	8573
45	410	8511
46	416	8455
47	423	8403
48	429	8344
49	436	8287
50	443	8249
51	450	8204
52	456	8160
53	463	8113
54	470	8075
55	476	8033
56	483	8001
57	490	7967
58	497	7931
59	503	7884
60	510	7853
61	516	7816
62	523	7778
63	529	7738
64	536	7710
65	542	7680
66	549	7647
67	556	7624
68	562	7591
69	568	7557
70	575	7526
71	581	7497
72	587	7466
73	593	7430
74	606	7483
75	613	7457
76	619	7431
77	627	7416
78	633	7383
79	639	7354
80	646	7330
81	652	7306
82	658	7273
83	664	7247
84	672	7236
85	678	7213
86	685	7190
87	691	7171
88	698	7146
89	704	7120
90	726	7256
91	733	7235
92	738	7206
93	746	7190
94	752	7169
95	759	7151
96	766	7130
97	772	7106
98	778	7083
99	785	7068
100	791	7048
101	797	7019
102	803	7000
103	810	6986
104	817	6967
105	823	6947
106	830	6929
107	836	6910
108	842	6890
109	849	6872
110	856	6856
111	862	6835
112	868	6813
113	875	6802
114	881	6784
115	887	6763
116	893	6745
117	900	6733
118	907	6715
119	913	6698
120	919	6676
121	925	6659
122	937	6687
123	943	6668
124	950	6651
125	956	6635
126	963	6622
127	971	6618
128	979	6611
129	987	6608
130	995	6601
131	1001	6588
132	1009	6580
133	1016	6571
134	1023	6557
135	1030	6547
136	1037	6537
137	1044	6525
138	1051	6513
139	1058	6501
140	1065	6489
141	1072	6478
142	1079	6470
143	1086	6459
144	1093	6449
145	1100	6435
146	1106	6421
147	1113	6410
148	1119	6396
149	1128	6393
150	1135	6381
151	1141	6367
152	1148	6356
153	1154	6342
154	1160	6328
155	1167	6317
156	1174	6307
157	1180	6293
158	1187	6280
159	1195	6273
160	1205	6280
161	1215	6285
162	1225	6293
163	1233	6288
164	1244	6296
165	1253	6296
166	1262	6296
167	1270	6292
168	1281	6302
169	1291	6303
170	1299	6298
171	1306	6290
172	1315	6288
173	1323	6283
174	1332	6282
175	1340	6277
176	1350	6277
177	1358	6274
178	1367	6271
179	1376	6268
180	1384	6262
181	1392	6258
182	1400	6252
183	1408	6248
184	1416	6238
185	1424	6233
186	1431	6225
187	1440	6221
188	1448	6215
189	1456	6207
190	1464	6202
191	1472	6198
192	1482	6200
193	1490	6193
194	1499	6191
195	1524	6254
196	1533	6251
197	1541	6242
198	1553	6252
199	1560	6243
200	1569	6239
201	1577	6232
202	1586	6229
203	1594	6222
204	1602	6215
205	1612	6215
206	1620	6208
207	1629	6204
208	1637	6196
209	1645	6190
210	1653	6182
211	1660	6173
212	1668	6164
213	1675	6155
214	1682	6144
215	1689	6132
216	1696	6120
217	1702	6108
218	1709	6097
219	1716	6085
220	1723	6076
221	1730	6065
222	1737	6052
223	1744	6043
224	1751	6033
225	1758	6023
226	1765	6012
227	1771	5999
228	1778	5986
229	1785	5975
230	1791	5964
231	1798	5953
232	1805	5942
233	1811	5931
234	1818	5920
235	1825	5908
236	1832	5898
237	1839	5889
238	1847	5883
239	1855	5874
240	1862	5867
241	1870	5860
242	1878	5852
243	1886	5845
244	1894	5839
245	1902	5831
246	1911	5826
247	1919	5818
248	1926	5809
249	1933	5801
250	1941	5793
251	1949	5787
252	1957	5779
253	1964	5771
254	1972	5763
255	1980	5756
256	1988	5749
257	1997	5744
258	2005	5738
259	2014	5732
260	2022	5725
261	2031	5721
262	2039	5716
263	2047	5708
264	2068	5735
265	2074	5724
266	2082	5716
267	2090	5708
268	2098	5701
269	2105	5692
270	2113	5685
271	2120	5675
272	2127	5666
273	2134	5655
274	2141	5645
275	2147	5634
276	2154	5623
277	2161	5614
278	2168	5604
279	2176	5596
280	2184	5589
281	2192	5581
282	2199	5571
283	2207	5564
284	2214	5556
285	2221	5546
286	2228	5535
287	2235	5525
288	2241	5515
289	2248	5505
290	2255	5496
291	2262	5485
292	2269	5475
293	2276	5466
294	2283	5456
295	2289	5446
296	2296	5436
297	2304	5428
298	2312	5422
299	2320	5415
300	2328	5407
301	2336	5399
302	2344	5393
303	2351	5383
304	2359	5375
305	2366	5367
306	2373	5358
307	2381	5350
308	2388	5341
309	2396	5333
310	2404	5326
311	2412	5319
312	2419	5311
313	2427	5304
314	2435	5296
315	2443	5289
316	2450	5279
317	2457	5270
318	2472	5278
319	2479	5268
320	2487	5261
321	2496	5255
322	2503	5248
323	2511	5240
324	2519	5232
325	2527	5224
326	2536	5219
327	2543	5211
328	2551	5204
329	2559	5196
330	2568	5190
331	2576	5183
332	2584	5176
333	2592	5169
334	2600	5162
335	2608	5154
336	2616	5146
337	2623	5138
338	2631	5131
339	2638	5122
340	2647	5116
341	2655	5108
342	2663	5101
343	2670	5092
344	2677	5084
345	2685	5075
346	2693	5068
347	2700	5060
348	2709	5053
349	2716	5045
350	2723	5036
351	2731	5029
352	2739	5020
353	2747	5014
354	2755	5006
355	2762	4998
356	2770	4989
357	2777	4981
358	2785	4972
359	2792	4963
360	2798	4954
361	2806	4946
362	2813	4937
363	2821	4929
364	2828	4920
365	2835	4911
366	2841	4900
367	2847	4890
368	2853	4880
369	2860	4870
370	2867	4861
371	2873	4851
372	2880	4841
373	2886	4831
374	2893	4821
375	2899	4812
376	2905	4802
377	2912	4792
378	2919	4783
379	2925	4773
380	2931	4763
381	2938	4754
382	2945	4744
383	2951	4734
384	2958	4725
385	2964	4715
386	2970	4705
387	2978	4697
388	2985	4689
389	2993	4681
390	3000	4673
391	3009	4667
392	3018	4662
393	3027	4655
394	3035	4648
395	3043	4642
396	3051	4635
397	3060	4629
398	3068	4622
399	3077	4616
400	3085	4609
401	3094	4602
402	3101	4595
403	3109	4587
404	3117	4580
405	3124	4571
406	3132	4563
407	3140	4556
408	3147	4548
409	3155	4540
410	3163	4533
411	3170	4525
412	3178	4517
413	3185	4509
414	3192	4500
415	3200	4492
416	3208	4485
417	3216	4477
418	3223	4470
419	3231	4462
420	3239	4454
421	3246	4446
422	3254	4438
423	3261	4431
424	3269	4424
425	3277	4416
426	3285	4408
427	3293	4402
428	3301	4394
429	3309	4387
430	3319	4381
431	3326	4373
432	3334	4366
433	3342	4359
434	3350	4352
435	3358	4344
436	3370	4341
437	3377	4333
438	3384	4325
439	3391	4316
440	3397	4307
441	3404	4297
442	3411	4289
443	3418	4280
444	3425	4272
445	3432	4263
446	3439	4254
447	3446	4246
448	3453	4237
449	3460	4229
450	3467	4220
451	3474	4212
452	3480	4202
453	3487	4193
454	3493	4184
455	3499	4174
456	3504	4164
457	3511	4155
458	3517	4145
459	3522	4135
460	3528	4125
461	3534	4116
462	3540	4106
463	3546	4096
464	3552	4087
465	3558	4077
466	3564	4068
467	3570	4058
468	3577	4050
469	3583	4041
470	3590	4032
471	3595	4022
472	3602	4013
473	3608	4004
474	3614	3994
475	3620	3985
476	3626	3976
477	3632	3967
478	3638	3958
479	3645	3949
480	3651	3940
481	3658	3931
482	3665	3923
483	3672	3914
484	3679	3907
485	3686	3899
486	3693	3891
487	3700	3882
488	3707	3874
489	3713	3865
490	3721	3857
491	3728	3849
492	3735	3841
493	3742	3833
494	3748	3824
495	3755	3816
496	3762	3807
497	3770	3800
498	3777	3792
499	3784	3784
500	3790	3775
501	3797	3767
502	3804	3758
503	3811	3750
504	3817	3742
505	3824	3733
506	3830	3724
507	3837	3716
508	3844	3708
509	3850	3699
510	3856	3690
511	3863	3682
512	3869	3673
513	3876	3665
514	3883	3657
515	3890	3649
516	3897	3640
517	3903	3631
518	3909	3623
519	3916	3614
520	3922	3606
521	3929	3598
522	3938	3591
523	3946	3584
524	3954	3577
525	3961	3570
526	3970	3563
527	3977	3555
528	3984	3547
529	3991	3540
530	3999	3532
531	4006	3524
532	4015	3518
533	4023	3510
534	4030	3503
535	4038	3495
536	4046	3488
537	4053	3481
538	4060	3472
539	4066	3463
540	4073	3455
541	4079	3447
542	4086	3439
543	4093	3431
544	4100	3423
545	4106	3414
546	4112	3406
547	4119	3397
548	4124	3388
549	4130	3379
550	4136	3370
551	4142	3362
552	4148	3353
553	4154	3344
554	4159	3335
555	4165	3326
556	4171	3317
557	4177	3309
558	4184	3301
559	4190	3292
560	4196	3283
561	4203	3275
562	4209	3267
563	4215	3259
564	4221	3250
565	4227	3241
566	4234	3233
567	4240	3225
568	4246	3216
569	4253	3208
570	4259	3200
571	4266	3192
572	4272	3184
573	4278	3175
574	4285	3167
