feature,importance_mean,importance_std
followup_age_ratio,0.17012987012987008,0.022077922077922085
RARRES3|5920,0.01558441558441559,0.009718590614997254
RPL14|9045,0.010389610389610393,0.0051948051948051965
ITPK1|3705,0.010389610389610393,0.0051948051948051965
KDM4B|23030,0.010389610389610393,0.009718590614997254
KIF5B|3799,0.009090909090909094,0.005951397006436158
temporal_risk_score,0.007792207792207795,0.006362311020216049
ZDHHC9|51114,0.007792207792207795,0.006362311020216049
SEC14L2|23541,0.006493506493506496,0.006493506493506495
LTA4H|4048,0.0051948051948051965,0.006362311020216049
SDC1|6382,0.0051948051948051965,0.006362311020216049
STIP1|10963,0.0051948051948051965,0.006362311020216049
PTK2|5747,0.0038961038961038974,0.005951397006436158
ACSF2|80221,0.0038961038961038974,0.005951397006436158
RLN1|6013,0.0025974025974025983,0.0051948051948051965
GSTM3|2947,0.0025974025974025983,0.0051948051948051965
VAV3|10451,0.0025974025974025983,0.0051948051948051965
NDRG1|10397,0.0012987012987012991,0.0038961038961038974
ELOVL2|54898,0.0,0.0
PECI|10455,0.0,0.0
LSS|4047,0.0,0.0
YKT6|10652,0.0,0.0
MTHFD2|10797,0.0,0.0
AGR3|155465,0.0,0.0
ABCB1|5243,0.0,0.0
CCNG2|901,0.0,0.0
P4HA2|8974,0.0,0.0
HTN3|3347,0.0,0.0
MARS|4141,0.0,0.0
AFAP1L2|84632,0.0,0.0
NRIP1|8204,0.0,0.0
AFF3|3899,0.0,0.0
TRIM8|81603,0.0,0.0
SLC27A2|11001,0.0,0.0
IQGAP2|10788,0.0,0.0
KCTD3|51133,0.0,0.0
LEF1|51176,0.0,0.0
NCS1|23413,0.0,0.0
CCNG1|900,0.0,0.0
PGLYRP2|114770,0.0,0.0
RAPGEFL1|51195,0.0,0.0
SEMA3B|7869,0.0,0.0
GREB1|9687,0.0,0.0
KIAA0040|9674,0.0,0.0
TARS|6897,0.0,0.0
HR|55806,0.0,0.0
early_recurrence,0.0,0.0
TTC39C|125488,0.0,0.0
PITRM1|10531,0.0,0.0
C8orf33|65265,0.0,0.0
FLT3|2322,0.0,0.0
OXA1L|5018,0.0,0.0
TMEM189|387521,0.0,0.0
negative_surgical_margins,0.0,0.0
GSTM4|2948,0.0,0.0
high_temporal_risk,0.0,0.0
temporal_risk_normalized,0.0,0.0
pr_ihc_val,0.0,0.0
lymph_node_ratio,0.0,0.0
t_stage_numeric,0.0,0.0
n_stage_numeric,0.0,0.0
CREBL2|1389,0.0,0.0
ELOVL1|64834,0.0,0.0
ANLN|54443,0.0,0.0
ZNF652|22834,0.0,0.0
GPR172A|79581,0.0,0.0
PLEKHH1|57475,0.0,0.0
NAA50|80218,0.0,0.0
TRAK1|22906,0.0,0.0
SH3BP5|9467,0.0,0.0
BCL2|596,0.0,0.0
YME1L1|10730,0.0,0.0
AMTN|401138,0.0,0.0
HNRNPA1L2|144983,0.0,0.0
NFIA|4774,0.0,0.0
GRIK3|2899,0.0,0.0
C15orf21|283651,0.0,0.0
SLURP1|57152,0.0,0.0
EIF2S2|8894,0.0,0.0
GARS|2617,0.0,0.0
TMEM45A|55076,0.0,0.0
LYST|1130,0.0,0.0
LRIG1|26018,0.0,0.0
TXNRD1|7296,0.0,0.0
A2ML1|144568,0.0,0.0
L1CAM|3897,0.0,0.0
F11R|50848,0.0,0.0
GATA3|2625,0.0,0.0
GLUD1|2746,0.0,0.0
SLC44A4|80736,0.0,0.0
EIF3B|8662,0.0,0.0
GFRA1|2674,0.0,0.0
STEAP2|261729,0.0,0.0
ABAT|18,0.0,0.0
HPN|3249,0.0,0.0
GSTM2|2946,0.0,0.0
FBP1|2203,0.0,0.0
BHLHE40|8553,0.0,0.0
ST14|6768,0.0,0.0
SCUBE2|57758,0.0,0.0
BTG2|7832,0.0,0.0
TUBA1C|84790,0.0,0.0
STC2|8614,0.0,0.0
PGK1|5230,0.0,0.0
TPI1|7167,0.0,0.0
SLC7A5|8140,0.0,0.0
ATP5B|506,0.0,0.0
TAGLN2|8407,0.0,0.0
HSPA8|3312,0.0,0.0
BCAM|4059,0.0,0.0
CXCL14|9547,0.0,0.0
AGR2|10551,0.0,0.0
XBP1|7494,0.0,0.0
ENO1|2023,0.0,0.0
ALOX15B|247,0.0,0.0
MAPT|4137,0.0,0.0
C12orf35|55196,0.0,0.0
SHMT2|6472,0.0,0.0
TCP1|6950,0.0,0.0
SI|6476,0.0,0.0
UQCRFS1|7386,0.0,0.0
SLC1A4|6509,0.0,0.0
RUNX1|861,0.0,0.0
DTX3|196403,0.0,0.0
WLS|79971,0.0,0.0
MTCH1|23787,0.0,0.0
NAT1|9,0.0,0.0
ST3GAL4|6484,0.0,0.0
HSPA2|3306,0.0,0.0
SFRS5|6430,0.0,0.0
AARS|16,0.0,0.0
PTGER3|5733,0.0,0.0
EVL|51466,0.0,0.0
CELP|1057,0.0,0.0
PSME1|5720,0.0,0.0
CLIC6|54102,0.0,0.0
CCT4|10575,0.0,0.0
CLCNKB|1188,0.0,0.0
HSD17B4|3295,0.0,0.0
GDI2|2665,0.0,0.0
DGAT2|84649,0.0,0.0
ACADSB|36,0.0,0.0
HSPH1|10808,0.0,0.0
PGR|5241,0.0,0.0
PREX1|57580,0.0,0.0
PUF60|22827,0.0,0.0
HMGB3|3149,0.0,0.0
CYC1|1537,0.0,0.0
SURF4|6836,0.0,0.0
m_stage_numeric,0.0,0.0
