feature,shap_importance
followup_age_ratio,0.1614096911225582
temporal_risk_score,0.00400862095411996
ITPK1|3705,0.0024278887054286977
KDM4B|23030,0.0024239250542237765
RARRES3|5920,0.0021457054429995888
LTA4H|4048,0.0015970495075786461
ZDHHC9|51114,0.0014014763877418545
KIF5B|3799,0.0013725301251924077
PGR|5241,0.0011609007529474775
SLC1A4|6509,0.0010147761599041453
RAPGEFL1|51195,0.0009872401298924418
GRIK3|2899,0.0009351178240803868
PLEKHH1|57475,0.0009250166921827761
MTHFD2|10797,0.0008989295398947984
n_stage_numeric,0.0008839746522533366
STIP1|10963,0.0008445661450891868
SEC14L2|23541,0.0007166286852958574
FLT3|2322,0.000711376921150749
HNRNPA1L2|144983,0.0006590571627052082
HSPH1|10808,0.0006423980037339893
