feature,lime_weight,shap_value,abs_lime,abs_shap
SPRR2G|6706,0.0,-0.4955487669860882,0.0,0.4955487669860882
IL20RB|53833,0.0,0.2254431958974011,0.0,0.2254431958974011
LCE3E|353145,0.0,0.2049530563620296,0.0,0.2049530563620296
KRT78|196374,0.0,0.19943323699148435,0.0,0.19943323699148435
LCE3D|84648,0.0,0.14929364897557645,0.0,0.14929364897557645
EXT1|2131,0.0,0.13885171406101954,0.0,0.13885171406101954
DNAH11|8701,0.0,0.03659313524371275,0.0,0.03659313524371275
USF1|7391,0.0,0.028516762133694182,0.0,0.028516762133694182
WDR17|116966,0.0,0.022834593489805433,0.0,0.022834593489805433
IL1F8|27177,0.0,0.021252070277627703,0.0,0.021252070277627703
ACCSL|390110 <,-0.13647483133676075,0.0,0.13647483133676075,0.0
SPRR2D|6703,0.0,0.0,0.0,0.0
LCN1|3933,0.0,0.0,0.0,0.0
KRT34|3885,0.0,0.0,0.0,0.0
PRKAG3|53632,0.0,0.0,0.0,0.0
ACADSB|36,0.0,0.0,0.0,0.0
LCE3D|84648 > 0.00,0.1503692365714469,0.0,0.1503692365714469,0.0
C18orf1|753,0.0,0.0,0.0,0.0
RBMY3AP|64593,0.0,0.0,0.0,0.0
LCE3E|353145 > 0.00,0.24659972211527345,0.0,0.24659972211527345,0.0
C11orf46|120534,0.0,0.0,0.0,0.0
KRTAP19-1|337882,0.0,0.0,0.0,0.0
VSIG8|391123,0.0,0.0,0.0,0.0
RBMY1F|159163,0.0,0.0,0.0,0.0
ZNF664|144348,0.0,0.0,0.0,0.0
TMEM81|388730,0.0,0.0,0.0,0.0
SYBU|55638,0.0,0.0,0.0,0.0
FSCN1|6624,0.0,0.0,0.0,0.0
GSDMC|56169,0.0,0.0,0.0,0.0
ACCSL|390110,0.0,0.0,0.0,0.0
RBMY2FP|159162,0.0,0.0,0.0,0.0
USF1|7391 > 0.84,0.13389412961136388,0.0,0.13389412961136388,0.0
PCLO|27445,0.0,0.0,0.0,0.0
HEPHL1|341208,0.0,0.0,0.0,0.0
IL20RB|53833 > 0.72,0.1372658251424425,0.0,0.1372658251424425,0.0
FAM9C|171484,0.0,0.0,0.0,0.0
TAGLN2|8407,0.0,0.0,0.0,0.0
HES3|390992 <,-0.13362216392925438,0.0,0.13362216392925438,0.0
RBMY1J|378951,0.0,0.0,0.0,0.0
RBMY1A3P|286557,0.0,0.0,0.0,0.0
DEFB103B|414325 > 0.00,-0.16595623376292862,0.0,0.16595623376292862,0.0
ULBP2|80328,0.0,0.0,0.0,0.0
SPRR2G|6706 > 0.00,-0.3859524863219102,0.0,0.3859524863219102,0.0
DEFB103B|414325,0.0,0.0,0.0,0.0
RBMY1E|378950,0.0,0.0,0.0,0.0
DNAH11|8701 > 1.15,0.15630888728330947,0.0,0.15630888728330947,0.0
PCGF5|84333,0.0,0.0,0.0,0.0
DCAF16|54876,0.0,0.0,0.0,0.0
OR5AU1|390445,0.0,0.0,0.0,0.0
LCE3C|353144,0.0,0.0,0.0,0.0
SPRR2B|6701,0.0,0.0,0.0,0.0
ADAM15|8751,0.0,0.0,0.0,0.0
KRT78|196374 > 2.24,0.16770863350747978,0.0,0.16770863350747978,0.0
IFNK|56832,0.0,0.0,0.0,0.0
IL1F10|84639,0.0,0.0,0.0,0.0
TNRC6C|57690,0.0,0.0,0.0,0.0
C3P1|388503,0.0,0.0,0.0,0.0
PNRC2|55629,0.0,0.0,0.0,0.0
SPRR4|163778,0.0,0.0,0.0,0.0
HES3|390992,0.0,0.0,0.0,0.0
